Parcel ID,LUC ,Prior Year Due,Column 1,Column 2,Column 3
M5620426000041,550,6844.89,,,
M5620434000006,510,6839.79,,,
Q6511999380000,880,6831.59,,,
M5620287000010,510,6826.86,,,
M5620060000015,510,6824,,,
M5620434000008,510,6822.5,,,
A0700095000050,510,6789.56,,,
H4100120000024,510,6785.71,,,
Q6542075000042,510,6770.8,,,
Q6532036000070,480,6768.94,,,
Q6542068000068,420,6767.12,,,
Q6532004000030,429,6758.34,,,
Q6532032000047,500,6749.58,,,
P6461057000023,403,6741.23,,,
M5620340000041,510,6720.76,,,
M5620047000057,510,6719.04,,,
M5620091000012,454,6695.49,,,
P6441043000025,530,6692.25,,,
M5620192000057,510,6683.59,,,
Q6532027000005,500,6679.66,,,
A0300080000055,510,6677.83,,,
R8000043000102,510,6670.43,,,
D2010024000070,511,6644.68,,,
M5610007000032,350,6641.6,,,
Q6511047000013,510,6638.51,,,
M5620190000038,510,6635.66,,,
Q6542056000081,510,6629.82,,,
B1010008000012,511,6623.01,,,
M5620134000050,412,6582.43,,,
Q6541021000057,510,6566.57,,,
M5620184000017,510,6559.82,,,
Q6542054000083,510,6541.49,,,
Q6521010000099,510,6522.44,,,
A0700110000048,510,6513.65,,,
P6411002000077,430,6495.12,,,
Q6541004000122,510,6491.54,,,
Q6532034000022,510,6491.34,,,
A0700004000073,480,6490.34,,,
Q6532033000081,510,6482.76,,,
Q6541020000028,510,6475.7,,,
D2020194000035,510,6474.55,,,
P6412205000001,510,6473.44,,,
P6462008000155,510,6472.59,,,
D2020216000011,510,6470.59,,,
Q6541022000063,510,6470,,,
Q6521010000069,500,6469.66,,,
D2020080000031,510,6459.11,,,
A0300147000119,510,6458.08,,,
Q6542046000043,520,6452.01,,,
Q6542102000096,510,6434.1,,,
E2210017000069,511,6433.13,,,
N6110008000003,511,6419.02,,,
Q6511033000065,510,6416.08,,,
P6441047000042,500,6404.34,,,
P6412158000072,510,6400.14,,,
A0300057000020,510,6391.06,,,
Q6541028000068,510,6390.43,,,
Q6511037000062,510,6366.9,,,
A0300025000050,510,6361.16,,,
A0700004000108,480,6354.5,,,
M5620190000064,510,6351.74,,,
M5620136000002,510,6340.34,,,
Q6542043000024,510,6337.27,,,
E2220086000026,400,6320.54,,,
M5620444000013,510,6298.8,,,
L5300004000212,510,6290.08,,,
C1800005220016,510,6289.35,,,
M5620363000022,510,6288.83,,,
M5620361000027,550,6260.04,,,
Q6541001000061,510,6223.3,,,
Q6511034000203,510,6222.61,,,
A0300025000010,510,6208.43,,,
Q6542093000005,510,6207.68,,,
J4310035000023,112,6204.55,,,
Q6521002000066,510,6198.95,,,
D2020259000054,510,6194.59,,,
D2020156000044,510,6165.87,,,
A0700044000099,510,6156.79,,,
Q6542110000002,510,6150.9,,,
M5620100000002,510,6148.99,,,
A0700047000012,510,6146.19,,,
H4000126000022,510,6137.73,,,
Q6521007000043,510,6127.73,,,
Q6511021000014,401,6113.58,,,
P6451042000019,499,6111.11,,,
D2020087000068,510,6095.74,,,
P6441053000030,510,6090.98,,,
M5620431000008,510,6083.68,,,
Q6542030000221,500,6080.56,,,
M5620390000008,510,6077.33,,,
D7000011110034,510,6074.48,,,
D2020038000007,435,6068.84,,,
M5620372000010,510,6063.92,,,
B1010028000029,511,6055.44,,,
P6421020000060,500,6054.8,,,
M5620176000056,510,6049.63,,,
P6461006000020,499,6047.85,,,
P6411150000031,510,6040.45,,,
A0300096000025,510,6025.74,,,
D2020212000026,510,6022.28,,,
P6441048000038,599,6021.37,,,
M5620448000012,350,6020.77,,,
E2210014000050,511,6017.48,,,
Q6542114000037,510,6015.84,,,
M5620084000035,510,6009.06,,,
E2210017000094,512,6007.58,,,
E2210025000069,511,6000,,,
F2610026000004,111,5999.93,,,
P6412033000001,510,5994.52,,,
M7500297000004,510,5993.05,,,
Q6531077000017,510,5988.59,,,
Q6531054000012,510,5983.58,,,
Q6511024000067,435,5973.89,,,
D2020245000009,510,5970.64,,,
P6451013000052,510,5965.16,,,
D2020180000061,510,5951.31,,,
P6412216000021,510,5945.85,,,
P6421007000027,465,5944.49,,,
G3210014000014,560,5940.46,,,
M5620177000063,510,5934.35,,,
N5910032000054,455,5930.72,,,
E2210018000048,511,5924.72,,,
Q6542053000302,500,5917.27,,,
C1800009330080,510,5916.38,,,
Q6542030000222,510,5916.15,,,
B1010021000050,512,5906.95,,,
Q6532031000066,510,5900.28,,,
D2020318000023,510,5897.31,,,
Q6531069000077,510,5872.15,,,
F2610003000037,511,5860.93,,,
H4100010000038,401,5859.37,,,
D2020216000068,510,5859.16,,,
P6462013000137,510,5849.27,,,
Q6521026000006,500,5847.46,,,
P6462021000031,510,5835.88,,,
Q6531056000009,510,5832.62,,,
Q6542102000080,510,5826.08,,,
Q6542032000093,510,5809.15,,,
A0300020000017,510,5805.8,,,
P6461022000077,510,5805.78,,,
H4000026000024,510,5789.72,,,
Q6542076000012,510,5788.21,,,
G3210024000034,560,5787.31,,,
Q6532038000038,510,5780.81,,,
Q6542068000011,420,5776.55,,,
D2020194000022,510,5754.96,,,
C1800012330009,510,5752.49,,,
A0300115000047,510,5750.72,,,
Q6542076000014,510,5748.45,,,
Q6531077000019,510,5747.31,,,
P6411064000082,510,5727.94,,,
